First ID,1_Sample_ID,1_Lat,1_Long,1_Anem,Loci typed,Second ID,2_Sample_ID,2_Lat,2_Long,MATCH,2_Anem,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_14255L0737,APCL14_255,10.634084,124.776499,536,265,APCL_14255L1742,APCL14_255,10.634084,124.776499,MATCH,536,262,248,14,0.00E+00,0.00E+00,Fuzzy match
APCL_14399L0798,APCL14_399,10.871527,124.714255,614,265,APCL_14423L1746,APCL14_423,10.871697,124.713987,FALSE,651,263,248,15,0.00E+00,0.00E+00,Fuzzy match
APCL_13351L0370,APCL13_351,10.85841325,124.7244405,205,265,APCL_14445L0742,APCL14_445,10.871446,124.71402,FALSE,669,265,249,16,0.00E+00,0.00E+00,Fuzzy match
APCL_13362L0377,APCL13_362,10.860759,124.7220953,212,265,APCL_14553L0974,APCL14_553,10.874333,124.710864,FALSE,730,263,249,14,0.00E+00,0.00E+00,Fuzzy match
APCL_13584L0677,APCL13_584,10.63399525,124.7767205,320,265,APCL_14155L0730,APCL14_155,10.873714,124.711159,FALSE,477,265,249,16,0.00E+00,0.00E+00,Fuzzy match
APCL_14255L1742,APCL14_255,10.634084,124.776499,536,262,APCL_14509L1705,APCL14_509,10.79974,124.76825,FALSE,NA,265,249,13,0.00E+00,0.00E+00,Fuzzy match
APCL_14400L0799,APCL14_400,10.871527,124.714255,614,265,APCL_14424L1747,APCL14_424,10.871694,124.713949,FALSE,652,265,249,16,0.00E+00,0.00E+00,Fuzzy match
APCL_14401L1005,APCL14_401,10.871536,124.714258,615,265,APCL_14425L1729,APCL14_425,10.871701,124.713919,FALSE,653,265,249,16,0.00E+00,0.00E+00,Fuzzy match
APCL_13651L0980,APCL13_651,10.86076925,124.7211288,NA,265,APCL_13651L1725,APCL13_651,10.86076925,124.7211288,MATCH,NA,265,249,16,0.00E+00,0.00E+00,Fuzzy match
APCL_13584L0677,APCL13_584,10.63399525,124.7767205,320,265,APCL_13584L1736,APCL13_584,10.63399525,124.7767205,MATCH,320,263,250,13,0.00E+00,0.00E+00,Fuzzy match
APCL_14309L1728,APCL14_309,10.635068,124.776215,570,265,APCL_14317L0806,APCL14_317,10.635228,124.776132,FALSE,553,265,250,15,0.00E+00,0.00E+00,Fuzzy match
APCL_13565L1735,APCL13_565,10.633602,124.7767905,311,265,APCL_14049L0726,APCL14_049,10.63357,124.776796,FALSE,406,265,251,14,0.00E+00,0.00E+00,Fuzzy match
APCL_13639L0979,APCL13_639,10.8732035,124.712417,356,265,APCL_13651L0980,APCL13_651,10.86076925,124.7211288,FALSE,NA,265,251,14,0.00E+00,0.00E+00,Fuzzy match
APCL_13653L0696,APCL13_653,10.86112575,124.721478,365,265,APCL_14246L0712,APCL14_246,10.86133,124.721578,FALSE,525,265,251,14,0.00E+00,0.00E+00,Fuzzy match
APCL_13150L1101,APCL13_150,10.640803,124.785089,85,265,APCL_14126L1701,APCL14_126,NA,NA,FALSE,450,265,252,13,0.00E+00,0.00E+00,Fuzzy match
APCL_13565L0670,APCL13_565,10.633602,124.7767905,311,265,APCL_13565L1735,APCL13_565,10.633602,124.7767905,MATCH,311,265,252,13,0.00E+00,0.00E+00,Fuzzy match
APCL_13654L0697,APCL13_654,10.86112575,124.721478,365,264,APCL_14088L0922,APCL14_088,10.872858,124.711873,FALSE,427,265,252,12,0.00E+00,0.00E+00,Fuzzy match
