,First.ID,Loci.typed,Second.ID,Loci.typed.1,Matching.loci,Mismatching.loci,pID,pIDsib,Status,First.year,Second.year,First.SampleID_dd,Second.SampleID_dd,First.SampleID,Second.SampleID
42,APCL_13333L0357,265,APCL_13333L1721,265,253,12,0,0,Fuzzy match,2013,2013,APCL_13333,APCL_13333,APCL13_333,APCL13_333
43,APCL_13333L0357,265,APCL_13334L0358,233,227,6,0,0,Fuzzy match,2013,2013,APCL_13333,APCL_13334,APCL13_333,APCL13_334
44,APCL_13333L1721,265,APCL_13334L0358,233,222,11,0,0,Fuzzy match,2013,2013,APCL_13333,APCL_13334,APCL13_333,APCL13_334
45,APCL_13351L0370,265,APCL_14445L0742,265,249,16,0,0,Fuzzy match,2013,2014,APCL_13351,APCL_14445,APCL13_351,APCL14_445
46,APCL_13362L0377,265,APCL_14553L0974,263,249,14,0,0,Fuzzy match,2013,2014,APCL_13362,APCL_14553,APCL13_362,APCL14_555
47,APCL_13363L0645,221,APCL_13367L0381,220,165,17,0,0,Fuzzy match,2013,2013,APCL_13363,APCL_13367,APCL13_363,APCL13_367
48,APCL_13393L1667,254,APCL_14XXXL0822,265,230,24,0,0,Fuzzy match,2013,2014,APCL_13393,APCL_14XXX,APCL13_393,APCL14_357
49,APCL_13447L0846,265,APCL_14447L1238,265,248,17,0,0,Fuzzy match,2013,2014,APCL_13447,APCL_14447,APCL13_447,APCL14_447
50,APCL_13461L0466,204,APCL_14489L1677,265,180,24,0,0,Fuzzy match,2013,2014,APCL_13461,APCL_14489,APCL13_461,APCL14_489
51,APCL_13485L0658,262,APCL_14095L0923,265,253,9,0,0,Fuzzy match,2013,2014,APCL_13485,APCL_14095,APCL13_485,APCL14_095
52,APCL_13557L1218,264,APCL_14291L1206,250,226,24,0,0,Fuzzy match,2013,2014,APCL_13557,APCL_14291,APCL13_557,APCL14_289
53,APCL_13565L0670,265,APCL_13565L1735,265,252,13,0,0,Fuzzy match,2013,2013,APCL_13565,APCL_13565,APCL13_565,APCL13_565
54,APCL_13565L0670,265,APCL_14049L0726,265,257,8,0,0,Fuzzy match,2013,2014,APCL_13565,APCL_14049,APCL13_565,APCL14_049
55,APCL_13565L0670,265,APCL_14049L1740,265,254,11,0,0,Fuzzy match,2013,2014,APCL_13565,APCL_14049,APCL13_565,APCL14_049
56,APCL_13565L1735,265,APCL_14049L0726,265,251,14,0,0,Fuzzy match,2013,2014,APCL_13565,APCL_14049,APCL13_565,APCL14_049
57,APCL_13565L1735,265,APCL_14049L1740,265,253,12,0,0,Fuzzy match,2013,2014,APCL_13565,APCL_14049,APCL13_565,APCL14_049
58,APCL_13572L0874,265,APCL_14060L0921,265,256,9,0,0,Fuzzy match,2013,2014,APCL_13572,APCL_14060,APCL13_572,APCL14_060
59,APCL_13584L0677,265,APCL_13584L1736,263,250,13,0,0,Fuzzy match,2013,2013,APCL_13584,APCL_13584,APCL13_584,APCL13_584
60,APCL_13584L0677,265,APCL_14155L0730,265,249,16,0,0,Fuzzy match,2013,2014,APCL_13584,APCL_14155,APCL13_584,APCL14_153
61,APCL_13584L0677,265,APCL_14155L1741,265,241,24,0,0,Fuzzy match,2013,2014,APCL_13584,APCL_14155,APCL13_584,APCL14_153
62,APCL_13584L1736,263,APCL_14155L0730,265,242,21,0,0,Fuzzy match,2013,2014,APCL_13584,APCL_14155,APCL13_584,APCL14_153
63,APCL_13584L1736,263,APCL_14155L1741,265,245,18,0,0,Fuzzy match,2013,2014,APCL_13584,APCL_14155,APCL13_584,APCL14_153
64,APCL_13587L0678,265,APCL_13587L1737,265,245,20,0,0,Fuzzy match,2013,2013,APCL_13587,APCL_13587,APCL13_587,APCL13_587
65,APCL_13587L0678,265,APCL_14255L0737,265,260,5,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14255,APCL13_587,APCL14_253
66,APCL_13587L0678,265,APCL_14255L1742,262,247,15,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14255,APCL13_587,APCL14_253
67,APCL_13587L0678,265,APCL_14509L1705,265,255,10,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14509,APCL13_587,APCL14_511
68,APCL_13587L1737,265,APCL_14255L0737,265,244,21,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14255,APCL13_587,APCL14_253
69,APCL_13587L1737,265,APCL_14255L1742,262,247,15,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14255,APCL13_587,APCL14_253
70,APCL_13587L1737,265,APCL_14509L1705,265,247,18,0,0,Fuzzy match,2013,2014,APCL_13587,APCL_14509,APCL13_587,APCL14_511
71,APCL_13601L0683,265,APCL_14270L1013,265,247,18,0,0,Fuzzy match,2013,2014,APCL_13601,APCL_14270,APCL13_601,APCL14_268
72,APCL_13615L0884,265,APCL_14XXXL1282,265,245,20,0,0,Fuzzy match,2013,2014,APCL_13615,APCL_14XXX,APCL13_615,APCL14_390
73,APCL_13639L0979,265,APCL_13651L0980,265,251,14,0,0,Fuzzy match,2013,2013,APCL_13639,APCL_13651,APCL13_639,APCL13_651
74,APCL_13639L0979,265,APCL_13651L1725,265,253,12,0,0,Fuzzy match,2013,2013,APCL_13639,APCL_13651,APCL13_639,APCL13_651
75,APCL_13651L0980,265,APCL_13651L1725,265,249,16,0,0,Fuzzy match,2013,2013,APCL_13651,APCL_13651,APCL13_651,APCL13_651
76,APCL_13653L0696,265,APCL_14246L0712,265,251,14,0,0,Fuzzy match,2013,2014,APCL_13653,APCL_14246,APCL13_653,APCL14_244
77,APCL_13654L0697,264,APCL_14088L0922,265,252,12,0,0,Fuzzy match,2013,2014,APCL_13654,APCL_14088,APCL13_654,APCL14_088
78,APCL_14006L0722,265,APCL_14006L1738,265,240,25,0,0,Fuzzy match,2014,2014,APCL_14006,APCL_14006,APCL14_006,APCL14_006
79,APCL_14032L0947,263,APCL_14032L1739,263,236,25,0,0,Fuzzy match,2014,2014,APCL_14032,APCL_14032,APCL14_032,APCL14_032
80,APCL_14049L0726,265,APCL_14049L1740,265,252,13,0,0,Fuzzy match,2014,2014,APCL_14049,APCL_14049,APCL14_049,APCL14_049
81,APCL_14126L1321,250,APCL_14126L1701,265,242,8,0,0,Fuzzy match,2014,2014,APCL_14126,APCL_14126,APCL14_126,APCL14_126
82,APCL_14255L0737,265,APCL_14255L1742,262,248,14,0,0,Fuzzy match,2014,2014,APCL_14255,APCL_14255,APCL14_253,APCL14_253
83,APCL_14255L0737,265,APCL_14509L1705,265,252,13,0,0,Fuzzy match,2014,2014,APCL_14255,APCL_14509,APCL14_253,APCL14_511
84,APCL_14255L1742,262,APCL_14509L1705,265,249,13,0,0,Fuzzy match,2014,2014,APCL_14255,APCL_14509,APCL14_253,APCL14_511
85,APCL_14309L1018,265,APCL_14317L0806,265,243,22,0,0,Fuzzy match,2014,2014,APCL_14309,APCL_14317,APCL14_307,APCL14_315
86,APCL_14309L1728,265,APCL_14317L0806,265,250,15,0,0,Fuzzy match,2014,2014,APCL_14309,APCL_14317,APCL14_307,APCL14_315
87,APCL_14310L0597,262,APCL_14310L1748,263,242,20,0,0,Fuzzy match,2014,2014,APCL_14310,APCL_14310,APCL14_308,APCL14_308
88,APCL_14310L1748,263,APCL_14318L1300,265,242,21,0,0,Fuzzy match,2014,2014,APCL_14310,APCL_14318,APCL14_308,APCL14_316
89,APCL_14317L1743,265,APCL_14518L1708,179,156,23,0,0,Fuzzy match,2014,2014,APCL_14317,APCL_14518,APCL14_315,APCL14_520
90,APCL_14399L0798,265,APCL_14423L1341,265,243,22,0,0,Fuzzy match,2014,2014,APCL_14399,APCL_14423,APCL14_399,APCL14_423
91,APCL_14399L0798,265,APCL_14423L1746,263,248,15,0,0,Fuzzy match,2014,2014,APCL_14399,APCL_14423,APCL14_399,APCL14_423
92,APCL_14400L0799,265,APCL_14424L1342,264,242,22,0,0,Fuzzy match,2014,2014,APCL_14400,APCL_14424,APCL14_400,APCL14_424
93,APCL_14400L0799,265,APCL_14424L1747,265,249,16,0,0,Fuzzy match,2014,2014,APCL_14400,APCL_14424,APCL14_400,APCL14_424
94,APCL_14401L1005,265,APCL_14425L1343,253,235,18,0,0,Fuzzy match,2014,2014,APCL_14401,APCL_14425,APCL14_401,APCL14_425
95,APCL_14401L1005,265,APCL_14425L1729,265,249,16,0,0,Fuzzy match,2014,2014,APCL_14401,APCL_14425,APCL14_401,APCL14_425
96,APCL_14423L1341,265,APCL_14423L1746,263,236,27,0,0,Fuzzy match,2014,2014,APCL_14423,APCL_14423,APCL14_423,APCL14_423
97,APCL_14424L1342,264,APCL_14424L1747,265,243,21,0,0,Fuzzy match,2014,2014,APCL_14424,APCL_14424,APCL14_424,APCL14_424
98,APCL_14425L1343,253,APCL_14425L1729,265,238,15,0,0,Fuzzy match,2014,2014,APCL_14425,APCL_14425,APCL14_425,APCL14_425
99,APCL_14442L1732,265,APCL_14498L0969,250,238,12,0,0,Fuzzy match,2014,2014,APCL_14442,APCL_14498,APCL14_442,APCL14_500
100,APCL_14452L0744,265,APCL_14452L1754,253,239,14,0,0,Fuzzy match,2014,2014,APCL_14452,APCL_14452,APCL14_452,APCL14_452
101,APCL_14557L1350,178,APCL_14557L1717,265,154,24,0,0,Fuzzy match,2014,2014,APCL_14557,APCL_14557,APCL14_559,APCL14_559
