First ID,First.SampleID,Loci typed,Second ID,Second.SampleID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_13461L0466,APCL13_461,204,APCL_14489L1677,APCL14_489,265,180,24,0.00E+00,0.00E+00,Fuzzy match
APCL_13485L0658,APCL13_485,262,APCL_14095L0923,APCL14_095,265,253,9,0.00E+00,0.00E+00,Fuzzy match
APCL_13557L1218,APCL13_557,264,APCL_14291L1206,APCL14_291,250,226,24,0.00E+00,0.00E+00,Fuzzy match
APCL_13565L0670,APCL13_565,265,APCL_13565L1735,APCL13_565,265,252,13,0.00E+00,0.00E+00,Fuzzy match
APCL_13565L0670,APCL13_565,265,APCL_14049L0726,APCL14_049,265,257,8,0.00E+00,0.00E+00,Fuzzy match
APCL_13565L0670,APCL13_565,265,APCL_14049L1740,APCL14_049,265,254,11,0.00E+00,0.00E+00,Fuzzy match
APCL_13565L1735,APCL13_565,265,APCL_14049L0726,APCL14_049,265,251,14,0.00E+00,0.00E+00,Fuzzy match
APCL_13565L1735,APCL13_565,265,APCL_14049L1740,APCL14_049,265,253,12,0.00E+00,0.00E+00,Fuzzy match
APCL_13572L0874,APCL13_572,265,APCL_14060L0921,APCL14_060,265,256,9,0.00E+00,0.00E+00,Fuzzy match
APCL_13584L0677,APCL13_584,265,APCL_13584L1736,APCL13_584,263,250,13,0.00E+00,0.00E+00,Fuzzy match
APCL_13584L0677,APCL13_584,265,APCL_14155L0730,APCL14_155,265,249,16,0.00E+00,0.00E+00,Fuzzy match
APCL_13584L0677,APCL13_584,265,APCL_14155L1741,APCL14_155,265,241,24,0.00E+00,0.00E+00,Fuzzy match
APCL_13584L1736,APCL13_584,263,APCL_14155L0730,APCL14_155,265,242,21,0.00E+00,0.00E+00,Fuzzy match
APCL_13584L1736,APCL13_584,263,APCL_14155L1741,APCL14_155,265,245,18,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L0678,APCL13_587,265,APCL_13587L1737,APCL13_587,265,245,20,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L0678,APCL13_587,265,APCL_14255L0737,APCL14_255,265,260,5,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L0678,APCL13_587,265,APCL_14255L1742,APCL14_255,262,247,15,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L0678,APCL13_587,265,APCL_14509L1705,APCL14_509,265,255,10,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L1737,APCL13_587,265,APCL_14255L0737,APCL14_255,265,244,21,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L1737,APCL13_587,265,APCL_14255L1742,APCL14_255,262,247,15,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L1737,APCL13_587,265,APCL_14509L1705,APCL14_509,265,247,18,0.00E+00,0.00E+00,Fuzzy match
APCL_13601L0683,APCL13_601,265,APCL_14270L1013,APCL14_270,265,247,18,0.00E+00,0.00E+00,Fuzzy match
APCL_13615L0884,APCL13_615,265,APCL_14XXXL1282,APCL14_XXX,265,245,20,0.00E+00,0.00E+00,Fuzzy match
